Five-Year Ofsted Inspection Data: Initial teacher education,,,,,,,,,,,,,,,
This worksheet contains one table. Each row in the table shows information about an initial teacher education provider at a given time. Blank cells indicate that the provider had not been inspected at the time of reporting.,,,,,,,,,,,,,,,
URN,Name,Five-Year Ofsted Inspection Data publish date,Publication type,Remit,As at date,Published date,Government office region,Local authority area,Constituency,Postcode,Provider type,Phase,Overall effectiveness,The quality of education and training,Leadership and management
70348,Fareham and Gosport Primary SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South East,Hampshire,Not available,PO16 7EQ,SCITT,Primary,1,1,1
70351,Cheshire East SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,North West,Cheshire East,Not available,CW4 7DX,SCITT,Secondary,2,2,2
70352,Prestolee SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,North West,Bolton,Not available,M26 1HJ,SCITT,Primary,1,1,1
70353,Bishop's Stortford SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,East of England,Hertfordshire,Not available,CM21 9AT,SCITT,Primary and Secondary,2,2,2
70354,Star Teachers SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,North West,Blackburn with Darwen,Not available,BB1 2HT,SCITT,Primary and Secondary,1,1,1
70355,Astra SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South East,Buckinghamshire,Not available,HP6 5HA,SCITT,Primary and Secondary,1,1,1
70357,The Coventry SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,West Midlands,Coventry,Not available,CV1 5LY,SCITT,Primary and Secondary,2,2,2
70358,Hamwic SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South East,Hampshire,Not available,SO16 0AJ,SCITT,Primary,2,2,2
70359,Henry Maynard Training E17,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,London,Waltham Forest,Not available,E17 9JE,SCITT,Primary,1,1,1
70361,Barr Beacon SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,West Midlands,Walsall,Not available,WS9 0RF,SCITT,Secondary,1,1,1
70361,Barr Beacon SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,West Midlands,Walsall,Not available,WS9 0RF,SCITT,Primary,,,
70362,Cabot Learning Federation SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South West,Bristol,Not available,BS5 9JH,SCITT,Primary and Secondary,2,2,2
70363,Lampton LWA SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,London,Hounslow,Not available,TW3 4EP,SCITT,Secondary,2,2,2
70364,AA Teamworks West Yorkshire SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,Yorkshire and The Humber,Calderdale,Not available,HX4 8LS,SCITT,Primary and Secondary,2,2,2
70365,The South Downs SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South East,West Sussex,Not available,BN13 1JX,SCITT,Primary and Secondary,1,1,1
70366,Partnership London SCITT (PLS),03/12/2024,OS,Initial teacher education,31/08/2022,Not available,London,Barking and Dagenham,Not available,RM9 5QT,SCITT,Primary and Secondary,2,2,2
70367,Yorkshire and Humber Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,Yorkshire and The Humber,Kingston upon Hull,Not available,HU5 4ET,SCITT,Secondary,2,2,2
70367,Yorkshire and Humber Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,Yorkshire and The Humber,Kingston upon Hull,Not available,HU5 4ET,SCITT,Primary,,,
70368,Haybridge Alliance SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,West Midlands,Worcestershire,Not available,DY8 2XS,SCITT,Primary and Secondary,2,2,2
70369,GLF Schools' Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South East,Surrey,Not available,SM7 1AG,SCITT,Primary and Secondary,2,2,2
70370,Hillingdon SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,London,Hillingdon,Not available,HA4 8EE,SCITT,Primary and Secondary,1,1,1
70371,East of England Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,East Midlands,Lincolnshire,Not available,LN6 0DE,SCITT,Primary,2,2,1
1222539,Sacred Heart Newcastle SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,North East,Newcastle upon Tyne,Not available,NE4 9YF,SCITT,Primary and Secondary,2,2,2
1222545,Red Kite Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,Yorkshire and The Humber,North Yorkshire,Not available,HG2 0DZ,SCITT,Primary and Secondary,2,2,1
1226981,West Essex SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,East of England,Essex,Not available,IG9 5RX,SCITT,Primary,1,1,1
1245080,Teach SouthEast,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South East,Surrey,Not available,KT16 9LU,SCITT,Secondary,1,1,1
1245080,Teach SouthEast,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South East,Surrey,Not available,KT16 9LU,SCITT,Primary,,,
1246901,Manchester Nexus SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,North West,Oldham,Not available,OL1 3SQ,SCITT,Primary and Secondary,2,2,2
1246909,Prince Henry's High School & South Worcestershire SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,West Midlands,Worcestershire,Not available,WR11 4QH,SCITT,Secondary,2,2,2
1246912,Yorkshire Wolds Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,Yorkshire and The Humber,East Riding of Yorkshire,Not available,HU14 3HS,SCITT,Primary and Secondary,1,1,1
1247774,Exceed SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,Yorkshire and The Humber,Bradford,Not available,BD10 0EF,SCITT,Primary,1,1,1
1253872,Teach Kent & Sussex,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South East,Kent,Not available,TN4 9SH,SCITT,Primary and Secondary,1,1,1
1253876,The National Modern Languages SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,Yorkshire and The Humber,Sheffield,Not available,S11 9QH,SCITT,Secondary,2,2,2
1253919,Huddersfield Horizon SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,Yorkshire and The Humber,Kirklees,Not available,HD4 5JA,SCITT,Primary and Secondary,1,1,1
1258345,Teach First East of England Local Area Office,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,East of England,Norfolk,Not available,NR3 1JU,TeachFirst,Primary,,,
1258345,Teach First East of England Local Area Office,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,East of England,Norfolk,Not available,NR3 1JU,TeachFirst,Secondary,,,
1264441,Leicester College,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,East Midlands,Leicester,Not available,LE1 3WL,ITE in FE,FE,2,2,2
1272917,Inspiration Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,East of England,Norfolk,Not available,NR1 2PW,SCITT,Primary and Secondary,2,2,2
1272920,The National Mathematics and Physics SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,South East,Buckinghamshire,Not available,HP11 1TB,SCITT,Secondary,2,2,2
2574134,Teach Lead Bolton,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,North West,Bolton,Not available,BL3 5AB,HEI,FE,2,2,2
2574134,Teach Lead Bolton,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,North West,Bolton,Not available,BL3 5AB,HEI,Secondary,4,3,3
2574148,Coventry University,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,East Midlands,Coventry,Not available,NN12 8WP,HEI,Primary,2,2,2
2574148,Coventry University,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,East Midlands,Coventry,Not available,NN12 8WP,HEI,Secondary,2,2,2
2580190,Luminate Education Group,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,Yorkshire and The Humber,Leeds,Not available,LS3 1AA,ITE in FE,FE,,,
2580190,Luminate Education Group,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,Yorkshire and The Humber,Leeds,Not available,LS3 1AA,ITE in FE,Secondary,,,
2580203,Middlesbrough College,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,North East,Middlesbrough,Not available,TS2 1AD,ITE in FE,FE,3,3,3
2580204,New College Durham,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,North East,Durham,Not available,DH1 5ES,ITE in FE,FE,3,3,3
2580206,South Essex College,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,East of England,Southend on Sea,Not available,SS1 1ND,ITE in FE,FE,2,2,2
2640593,East SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,East of England,Suffolk,Not available,IP12 1DJ,SCITT,Primary,,,
2640593,East SCITT,03/12/2024,OS,Initial teacher education,31/08/2022,Not available,East of England,Suffolk,Not available,IP12 1DJ,SCITT,Secondary,,,
70001,University of Birmingham,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,West Midlands,Birmingham,Not available,B15 2TT,HEI,Primary,1,1,1
70001,University of Birmingham,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,West Midlands,Birmingham,Not available,B15 2TT,HEI,Secondary,1,1,1
70002,Bath Spa University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South West,Bath and North East Somerset,Not available,BA2 9BN,HEI,Early years,2,2,2
70002,Bath Spa University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South West,Bath and North East Somerset,Not available,BA2 9BN,HEI,Primary,1,1,1
70002,Bath Spa University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South West,Bath and North East Somerset,Not available,BA2 9BN,HEI,Secondary,1,1,1
70004,Bishop Grosseteste University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East Midlands,Lincolnshire,Not available,LN1 3DY,HEI,FE,2,2,2
70004,Bishop Grosseteste University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East Midlands,Lincolnshire,Not available,LN1 3DY,HEI,Primary,2,2,2
70004,Bishop Grosseteste University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East Midlands,Lincolnshire,Not available,LN1 3DY,HEI,Secondary,2,1,1
70005,University of Brighton,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Brighton and Hove,Not available,BN1 9PH,HEI,Early years,1,2,2
70005,University of Brighton,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Brighton and Hove,Not available,BN1 9PH,HEI,FE,2,1,1
70005,University of Brighton,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Brighton and Hove,Not available,BN1 9PH,HEI,Primary,1,1,1
70005,University of Brighton,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Brighton and Hove,Not available,BN1 9PH,HEI,Secondary,1,1,1
70006,University of Bristol,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South West,Bristol,Not available,BS8 1JA,HEI,Secondary,1,1,1
70007,Bromley Schools' Collegiate,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Bromley,Not available,BR7 6HE,SCITT,Primary,1,1,1
70007,Bromley Schools' Collegiate,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Bromley,Not available,BR7 6HE,SCITT,Secondary,1,2,2
70008,Oxford Brookes University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Oxfordshire,Not available,OX2 9AT,HEI,FE,2,2,2
70008,Oxford Brookes University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Oxfordshire,Not available,OX2 9AT,HEI,Primary,2,2,2
70008,Oxford Brookes University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Oxfordshire,Not available,OX2 9AT,HEI,Secondary,2,1,1
70009,Brunel University London,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Hillingdon,Not available,UB8 3PH,HEI,Primary,1,1,1
70009,Brunel University London,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Hillingdon,Not available,UB8 3PH,HEI,Secondary,1,1,1
70011,Canterbury Christ Church University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Kent,Not available,CT1 1QU,HEI,FE,1,2,2
70011,Canterbury Christ Church University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Kent,Not available,CT1 1QU,HEI,Primary,2,2,2
70011,Canterbury Christ Church University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Kent,Not available,CT1 1QU,HEI,Secondary,2,2,2
70013,University of Chichester,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,West Sussex,Not available,PO21 1HR,HEI,Early years,2,2,2
70013,University of Chichester,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,West Sussex,Not available,PO21 1HR,HEI,Primary,2,2,2
70013,University of Chichester,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,West Sussex,Not available,PO21 1HR,HEI,Secondary,2,1,1
70014,Chiltern Training Group,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East of England,Luton,Not available,LU4 9TJ,SCITT,Secondary,1,1,1
70014,Chiltern Training Group,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East of England,Luton,Not available,LU4 9TJ,SCITT,Primary,,,
70015,North Essex Teacher Training (NETT),03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East of England,Essex,Not available,CO16 8BE,SCITT,Primary,4,1,1
70015,North Essex Teacher Training (NETT),03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East of England,Essex,Not available,CO16 8BE,SCITT,Secondary,4,4,4
70016,Cornwall School Centred Initial Teacher Training (Cornwall SCITT),03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South West,Cornwall,Not available,TR1 3XX,SCITT,Secondary,1,1,1
70016,Cornwall School Centred Initial Teacher Training (Cornwall SCITT),03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South West,Cornwall,Not available,TR1 3XX,SCITT,Primary,,,
70017,Cumbria Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,North West,Cumbria,Not available,CA14 4ES,SCITT,Primary,4,1,1
70017,Cumbria Teacher Training,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,North West,Cumbria,Not available,CA14 4ES,SCITT,Secondary,4,1,1
70018,University of Derby,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East Midlands,Derby,Not available,DE22 1GB,HEI,FE,1,2,2
70018,University of Derby,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East Midlands,Derby,Not available,DE22 1GB,HEI,Primary,1,1,1
70018,University of Derby,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East Midlands,Derby,Not available,DE22 1GB,HEI,Secondary,2,1,1
70021,University of Durham,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,North East,Durham,Not available,DH1 1TA,HEI,Primary,1,2,2
70021,University of Durham,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,North East,Durham,Not available,DH1 1TA,HEI,Secondary,1,1,1
70023,Forest Independent Primary Collegiate SCITT,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East of England,Essex,Not available,IG7 5LP,SCITT,Primary,2,1,1
70024,University of Exeter,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South West,Devon,Not available,EX1 2LU,HEI,Primary,1,1,1
70024,University of Exeter,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South West,Devon,Not available,EX1 2LU,HEI,Secondary,1,2,2
70024,University of Exeter,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South West,Devon,Not available,EX1 2LU,HEI,FE,,,
70026,Gloucestershire Initial Teacher Education Partnership (GITEP),03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South West,Gloucestershire,Not available,GL2 8EY,SCITT,Secondary,1,2,2
70027,University of Greenwich,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Greenwich,Not available,SE9 2PQ,HEI,Early years,2,1,1
70027,University of Greenwich,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Greenwich,Not available,SE9 2PQ,HEI,FE,2,2,2
70027,University of Greenwich,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Greenwich,Not available,SE9 2PQ,HEI,Primary,1,2,2
70027,University of Greenwich,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Greenwich,Not available,SE9 2PQ,HEI,Secondary,2,2,2
70028,The Grand Union Training Partnership,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East Midlands,West Northamptonshire,Not available,NN12 6DJ,SCITT,Secondary,2,2,2
70029,University of Hertfordshire,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East of England,Hertfordshire,Not available,AL10 9AB,HEI,Primary,2,2,1
70029,University of Hertfordshire,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East of England,Hertfordshire,Not available,AL10 9AB,HEI,Secondary,2,2,1
70030,University of Huddersfield,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,Yorkshire and The Humber,Kirklees,Not available,HD1 3DH,HEI,Early years,2,2,2
70030,University of Huddersfield,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,Yorkshire and The Humber,Kirklees,Not available,HD1 3DH,HEI,FE,2,2,2
70030,University of Huddersfield,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,Yorkshire and The Humber,Kirklees,Not available,HD1 3DH,HEI,Primary,2,2,2
70030,University of Huddersfield,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,Yorkshire and The Humber,Kirklees,Not available,HD1 3DH,HEI,Secondary,2,2,2
70031,University of Hull,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,Yorkshire and The Humber,Kingston upon Hull,Not available,HU6 7RX,HEI,FE,2,2,2
70031,University of Hull,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,Yorkshire and The Humber,Kingston upon Hull,Not available,HU6 7RX,HEI,Primary,2,1,1
70031,University of Hull,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,Yorkshire and The Humber,Kingston upon Hull,Not available,HU6 7RX,HEI,Secondary,2,2,2
70032,Liverpool John Moores University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,North West,Liverpool,Not available,L17 6BD,HEI,Primary,1,1,1
70032,Liverpool John Moores University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,North West,Liverpool,Not available,L17 6BD,HEI,Secondary,2,2,2
70035,King's College London,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Lambeth,Not available,SE1 9NH,HEI,Secondary,1,2,2
70036,Kingston University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Kingston upon Thames,Not available,KT2 7LB,HEI,Early years,2,2,2
70036,Kingston University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Kingston upon Thames,Not available,KT2 7LB,HEI,Primary,2,1,1
70036,Kingston University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Kingston upon Thames,Not available,KT2 7LB,HEI,Secondary,2,1,1
70037,Teaching London: LDBS SCITT,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Camden,Not available,NW6 4NT,SCITT,Primary,1,2,2
70037,Teaching London: LDBS SCITT,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Camden,Not available,NW6 4NT,SCITT,Secondary,1,2,2
70038,Leeds Beckett University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,Yorkshire and The Humber,Leeds,Not available,LS6 3QQ,HEI,Primary,2,1,1
70038,Leeds Beckett University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,Yorkshire and The Humber,Leeds,Not available,LS6 3QQ,HEI,Secondary,2,2,2
70040,University of Leicester,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East Midlands,Leicester,Not available,LE1 7RF,HEI,Primary,1,1,1
70040,University of Leicester,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East Midlands,Leicester,Not available,LE1 7RF,HEI,Secondary,2,2,2
70042,Loughborough University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East Midlands,Leicestershire,Not available,LE11 3TU,HEI,Secondary,1,1,1
70044,The Bedfordshire Schools' Training Partnership,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East of England,Central Bedfordshire,Not available,SG17 5QS,SCITT,Secondary,2,2,2
70044,The Bedfordshire Schools' Training Partnership,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East of England,Central Bedfordshire,Not available,SG17 5QS,SCITT,Primary,,,
70045,University of Gloucestershire,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South West,Gloucestershire,Not available,GL50 4AZ,HEI,Early years,3,3,3
70045,University of Gloucestershire,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South West,Gloucestershire,Not available,GL50 4AZ,HEI,FE,4,1,1
70045,University of Gloucestershire,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South West,Gloucestershire,Not available,GL50 4AZ,HEI,Primary,3,1,1
70045,University of Gloucestershire,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South West,Gloucestershire,Not available,GL50 4AZ,HEI,Secondary,3,2,2
70046,University of Manchester,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,North West,Manchester,Not available,M13 9PL,HEI,Primary,1,2,2
70046,University of Manchester,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,North West,Manchester,Not available,M13 9PL,HEI,Secondary,1,2,2
70048,Middlesex University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Barnet,Not available,NW4 4BT,HEI,Early years,2,2,2
70048,Middlesex University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Barnet,Not available,NW4 4BT,HEI,Primary,2,2,2
70048,Middlesex University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Barnet,Not available,NW4 4BT,HEI,Secondary,2,2,2
70049,Manchester Metropolitan University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,North West,Manchester,Not available,M15 6GX,HEI,Primary,2,1,1
70049,Manchester Metropolitan University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,North West,Manchester,Not available,M15 6GX,HEI,Secondary,2,2,2
70050,University of Northampton,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East Midlands,West Northamptonshire,Not available,NN2 7AL,HEI,Primary,2,1,1
70050,University of Northampton,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East Midlands,West Northamptonshire,Not available,NN2 7AL,HEI,Early years,,,
70051,Sheffield Hallam University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,Yorkshire and The Humber,Sheffield,Not available,S1 1WB,HEI,Early years,1,2,2
70051,Sheffield Hallam University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,Yorkshire and The Humber,Sheffield,Not available,S1 1WB,HEI,FE,2,2,2
70051,Sheffield Hallam University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,Yorkshire and The Humber,Sheffield,Not available,S1 1WB,HEI,Primary,1,2,2
70051,Sheffield Hallam University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,Yorkshire and The Humber,Sheffield,Not available,S1 1WB,HEI,Secondary,2,2,2
70052,London Metropolitan University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Islington,Not available,N7 8DB,HEI,Primary,2,1,1
70052,London Metropolitan University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Islington,Not available,N7 8DB,HEI,Secondary,2,1,1
70053,University of Nottingham,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East Midlands,Nottingham,Not available,NG8 1BB,HEI,Secondary,1,2,2
70053,University of Nottingham,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East Midlands,Nottingham,Not available,NG8 1BB,HEI,Primary,,,
70054,Northampton Teacher Training Partnership,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,East Midlands,West Northamptonshire,Not available,NN1 5RT,SCITT,Secondary,1,2,2
70055,Kent and Medway Training,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Kent,Not available,DA1 1QE,SCITT,Primary,2,1,1
70055,Kent and Medway Training,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Kent,Not available,DA1 1QE,SCITT,Secondary,2,1,1
70057,University of Oxford,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Oxfordshire,Not available,OX2 6PY,HEI,Secondary,1,2,1
70058,Poole SCITT,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South West,"Bournemouth, Christchurch & Poole",Not available,BH17 8AP,SCITT,Primary,1,2,2
70059,University of Plymouth,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South West,Plymouth,Not available,PL4 8AA,HEI,FE,2,2,2
70059,University of Plymouth,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South West,Plymouth,Not available,PL4 8AA,HEI,Primary,2,2,2
70059,University of Plymouth,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South West,Plymouth,Not available,PL4 8AA,HEI,Secondary,2,1,1
70060,University of Portsmouth,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Portsmouth,Not available,PO1 2HY,HEI,Early years,2,1,1
70060,University of Portsmouth,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Portsmouth,Not available,PO1 2HY,HEI,FE,1,2,2
70060,University of Portsmouth,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Portsmouth,Not available,PO1 2HY,HEI,Primary,1,1,1
70060,University of Portsmouth,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Portsmouth,Not available,PO1 2HY,HEI,Secondary,2,2,2
70061,Portsmouth Primary SCITT,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Portsmouth,Not available,PO6 3PS,SCITT,Primary,1,2,2
70062,University of Reading,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Reading,Not available,RG1 5EX,HEI,Early years,2,2,2
70062,University of Reading,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Reading,Not available,RG1 5EX,HEI,Primary,2,2,2
70062,University of Reading,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Reading,Not available,RG1 5EX,HEI,Secondary,2,2,2
70063,Roehampton University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Wandsworth,Not available,SW15 5PJ,HEI,Primary,2,2,2
70063,Roehampton University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Wandsworth,Not available,SW15 5PJ,HEI,Secondary,2,1,1
70064,London South Bank University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,London,Southwark,Not available,SE1 0AA,HEI,Primary,3,2,2
70066,Somerset SCITT Consortium,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South West,Somerset,Not available,TA19 9DT,SCITT,Primary,1,2,2
70067,University of Southampton,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Southampton,Not available,SO17 1BJ,HEI,FE,2,2,2
70067,University of Southampton,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Southampton,Not available,SO17 1BJ,HEI,Primary,2,2,2
70067,University of Southampton,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,South East,Southampton,Not available,SO17 1BJ,HEI,Secondary,2,2,2
70068,Staffordshire University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,West Midlands,Stoke-on-Trent,Not available,ST4 2DF,HEI,FE,2,2,2
70068,Staffordshire University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,West Midlands,Stoke-on-Trent,Not available,ST4 2DF,HEI,Primary,2,1,1
70068,Staffordshire University,03/12/2024,OS,Initial teacher education,31/08/2021,Not available,West Midlands,Stoke-on-Trent,Not available,ST4 2DF,HEI,Secondary,2,2,2
