Five-Year Ofsted Inspection Data: Non-association independent schools,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table. Each row in the table shows information about an independent school at a given time. Blank cells indicate that the provider had not been inspected at the time of reporting.,,,,,,,,,,,,,,,,,,,,
URN,Name,Five-Year Ofsted Inspection Data publish date,Publication type,Remit,As at date,Published date,Government office region,Local authority area,Constituency,Postcode,Provider type,Overall effectiveness,Effectiveness of leadership and management,Quality of education,Personal development,Behaviour and attitudes,Safeguarding is effective?,Early years provision (where applicable),Sixth form provision (where applicable),Independent school standards met
103753,Lote Tree Primary School,03/12/2024,OS,Non-association independent schools,31/08/2021,11/12/2019,West Midlands,Coventry,Coventry North East,CV6 5JQ,Other Independent School,2,2,2,2,2,Yes,2,9,All standards Met
103876,Elmfield Rudolf Steiner School Limited,03/12/2024,OS,Non-association independent schools,31/08/2021,08/07/2019,West Midlands,Dudley,Stourbridge,DY8 2EA,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
104128,Kingswood School,03/12/2024,OS,Non-association independent schools,31/08/2021,27/04/2018,West Midlands,Solihull,Solihull,B90 2BA,Other Independent School,1,1,9,9,9,Yes,1,9,All standards Met
104839,Nugent House School,03/12/2024,OS,Non-association independent schools,31/08/2021,13/05/2020,North West,St Helens,St Helens North,WN5 7TT,Other Independent Special School,3,3,3,2,2,Yes,9,9,All standards Met
105269,Lord's School,03/12/2024,OS,Non-association independent schools,31/08/2021,02/03/2020,North West,Bolton,Bolton South East,BL3 2EF,Other Independent School,2,2,2,2,2,Yes,9,9,All standards Met
105372,Darul Uloom Al Arabiya Al Islamiya,03/12/2024,OS,Non-association independent schools,31/08/2021,04/05/2018,North West,Bury,Bury North,BL8 4NG,Other Independent School,2,3,9,9,9,Yes,9,1,All standards Met
105596,King of Kings,03/12/2024,OS,Non-association independent schools,31/08/2021,05/03/2019,North West,Manchester,Manchester Central,M4 4DN,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
105598,Manchester Muslim Preparatory School,03/12/2024,OS,Non-association independent schools,31/08/2021,13/03/2018,North West,Manchester,"Manchester, Withington",M20 4BA,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
105748,Bright Futures School,03/12/2024,OS,Non-association independent schools,31/08/2021,21/01/2019,North West,Oldham,Oldham East and Saddleworth,OL3 7EU,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
105993,Talmud Torah Chinuch Norim School,03/12/2024,OS,Non-association independent schools,31/08/2021,03/03/2020,North West,Salford,Blackley and Broughton,M7 2AU,Other Independent School,3,3,3,3,2,Yes,3,9,Did not meet all standards
105996,Bnos Yisroel School Manchester,03/12/2024,OS,Non-association independent schools,31/08/2021,03/11/2017,North West,Salford,Blackley and Broughton,M7 4DA,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
105997,Prestwich Preparatory School,03/12/2024,OS,Non-association independent schools,31/08/2021,05/03/2019,North West,Bury,Bury South,M25 1PZ,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
105999,Mechinoh School,03/12/2024,OS,Non-association independent schools,31/08/2021,19/02/2019,North West,Salford,Blackley and Broughton,M7 4HY,Other Independent School,3,3,9,9,9,Yes,9,9,Did not meet all standards
106002,Tashbar of Manchester,03/12/2024,OS,Non-association independent schools,31/08/2021,27/02/2019,North West,Salford,Blackley and Broughton,M7 4HL,Other Independent School,3,3,9,9,9,Yes,3,9,Did not meet all standards
106003,Manchester Junior Girls' School,03/12/2024,OS,Non-association independent schools,31/08/2021,03/04/2019,North West,Salford,Blackley and Broughton,M7 4JA,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
106154,Stella Maris School,03/12/2024,OS,Non-association independent schools,31/08/2021,20/01/2020,North West,Stockport,Stockport,SK4 3BR,Other Independent School,2,2,2,2,2,Yes,2,9,All standards Met
106158,Covenant Christian School,03/12/2024,OS,Non-association independent schools,31/08/2021,20/01/2020,North West,Stockport,Stockport,SK4 4NX,Other Independent School,2,2,2,2,2,Yes,9,9,All standards Met
106162,Ashcroft School,03/12/2024,OS,Non-association independent schools,31/08/2021,19/03/2019,North West,Stockport,Cheadle,SK8 1JE,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
106814,Wilsic Hall School,03/12/2024,OS,Non-association independent schools,31/08/2021,24/01/2019,Yorkshire and The Humber,Doncaster,Don Valley,DN11 9AG,Other Independent Special School,2,2,9,9,9,Yes,9,2,All standards Met
106816,Sycamore Hall Preparatory School,03/12/2024,OS,Non-association independent schools,31/08/2021,03/12/2019,Yorkshire and The Humber,Doncaster,Doncaster Central,DN4 8PT,Other Independent School,3,3,3,2,2,Yes,9,9,Did not meet all standards
106817,Fullerton House School,03/12/2024,OS,Non-association independent schools,31/08/2021,30/12/2018,Yorkshire and The Humber,Doncaster,Don Valley,DN12 4AR,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
106965,The Robert Ogden School,03/12/2024,OS,Non-association independent schools,31/08/2021,01/05/2018,Yorkshire and The Humber,Barnsley,Wentworth and Dearne,S63 0BG,Other Independent Special School,2,2,9,9,9,Yes,9,2,All standards Met
107168,Bethany School,03/12/2024,OS,Non-association independent schools,31/08/2021,11/11/2018,Yorkshire and The Humber,Sheffield,Sheffield Central,S3 7PS,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
107445,Netherleigh and Rossefield School,03/12/2024,OS,Non-association independent schools,31/08/2021,03/06/2010,Yorkshire and The Humber,Bradford,Bradford West,BD9 4AY,Other Independent School,2,9,9,9,9,9,2,9,9
107461,Bradford Christian School,03/12/2024,OS,Non-association independent schools,31/08/2021,04/12/2018,Yorkshire and The Humber,Bradford,Shipley,BD2 1BT,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
107791,Institute of Islamic Education,03/12/2024,OS,Non-association independent schools,31/08/2021,19/07/2020,Yorkshire and The Humber,Kirklees,Dewsbury,WF12 9NG,Other Independent School,4,4,3,2,2,No,9,2,Did not meet all standards
107794,Madni Academy,03/12/2024,OS,Non-association independent schools,31/08/2021,11/03/2019,Yorkshire and The Humber,Kirklees,Dewsbury,WF12 9AY,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
107795,The Branch Christian School,03/12/2024,OS,Non-association independent schools,31/08/2021,26/09/2021,Yorkshire and The Humber,Kirklees,Dewsbury,WF13 4LA,Other Independent School,3,3,3,2,2,Yes,3,9,All standards Met
108109,Queenswood School,03/12/2024,OS,Non-association independent schools,31/08/2021,07/03/2019,Yorkshire and The Humber,Leeds,Morley and Outwood,LS27 9EB,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
108110,Leeds Menorah School,03/12/2024,OS,Non-association independent schools,31/08/2021,07/10/2020,Yorkshire and The Humber,Leeds,Leeds North East,LS17 6HQ,Other Independent School,4,4,9,9,9,No,4,9,Did not meet all standards
108307,Wakefield independent sch,03/12/2024,OS,Non-association independent schools,31/08/2021,07/03/2019,Yorkshire and The Humber,Wakefield,Hemsworth,WF4 1QG,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
108414,Gateshead Jewish Boarding School,03/12/2024,OS,Non-association independent schools,31/08/2021,07/10/2020,North East,Gateshead,Gateshead,NE8 1HG,Other Independent School,3,3,9,9,9,Yes,9,9,Did not meet all standards
108416,Gateshead Jewish Primary School,03/12/2024,OS,Non-association independent schools,31/08/2021,06/04/2016,North East,Gateshead,Gateshead,NE8 4EA,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
108419,Gateshead Jewish Nursery School,03/12/2024,OS,Non-association independent schools,31/08/2021,07/03/2019,North East,Gateshead,Gateshead,NE8 1RB,Other Independent School,4,4,9,9,9,Yes,9,9,Did not meet all standards
108877,Thornhill Park School,03/12/2024,OS,Non-association independent schools,31/08/2021,09/12/2018,North East,Sunderland,Sunderland Central,SR3 1SS,Other Independent Special School,2,2,9,9,9,Yes,9,2,All standards Met
108886,Holme Court School,03/12/2024,OS,Non-association independent schools,31/08/2021,17/01/2018,East of England,Cambridgeshire,Cambridge,CB1 8DW,Other Independent Special School,1,1,9,9,9,Yes,9,9,All standards Met
109343,Gracefield Preparatory School,03/12/2024,OS,Non-association independent schools,31/08/2021,05/05/2019,South West,Bristol,Bristol East,BS16 2RG,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
109345,Bristol Steiner School,03/12/2024,OS,Non-association independent schools,31/08/2021,12/05/2019,South West,Bristol,Bristol West,BS6 6UX,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
109353,Sheiling School,03/12/2024,OS,Non-association independent schools,31/08/2021,12/05/2020,South West,South Gloucestershire,Thornbury and Yate,BS35 1HP,Other Independent Special School,2,2,2,2,2,Yes,9,2,All standards Met
109364,Ashbrooke House School,03/12/2024,OS,Non-association independent schools,31/08/2021,20/02/2018,South West,North Somerset,Weston-Super-Mare,BS23 1XH,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
109723,St George's School,03/12/2024,OS,Non-association independent schools,31/08/2021,16/11/2017,East of England,Central Bedfordshire,South West Bedfordshire,LU5 4HR,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
109726,Kings House Preparatory School and Nursery,03/12/2024,OS,Non-association independent schools,31/08/2021,,East of England,Luton,Luton North,LU4 9JY,Other Independent School,,,,,,,,,
110141,Newbold School,03/12/2024,OS,Non-association independent schools,31/08/2021,25/04/2019,South East,Bracknell Forest,Windsor,RG42 4AH,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
110175,Alder Bridge School,03/12/2024,OS,Non-association independent schools,31/08/2021,29/04/2019,South East,West Berkshire,Wokingham,RG7 4JU,Other Independent School,4,4,9,9,9,Yes,3,9,Did not meet all standards
110178,Cressex Lodge School,03/12/2024,OS,Non-association independent schools,31/08/2021,07/09/2017,South East,Bracknell Forest,Windsor,RG42 4DE,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
110557,Crown House School,03/12/2024,OS,Non-association independent schools,31/08/2021,18/06/2018,South East,Buckinghamshire,Wycombe,HP11 1QX,Other Independent School,2,2,9,9,9,Yes,1,9,All standards Met
110564,Macintyre School,03/12/2024,OS,Non-association independent schools,31/08/2021,28/01/2020,South East,Buckinghamshire,Buckingham,HP22 4PA,Other Independent Special School,2,2,2,1,2,Yes,9,2,All standards Met
110920,Aurora Meldreth Manor School,03/12/2024,OS,Non-association independent schools,31/08/2021,13/12/2017,East of England,Cambridgeshire,South Cambridgeshire,SG8 6LG,Other Independent Special School,2,2,9,9,9,Yes,9,2,All standards Met
110930,Mander Portman Woodward,03/12/2024,OS,Non-association independent schools,31/08/2021,18/12/2019,East of England,Cambridgeshire,Cambridge,CB2 1JE,Other Independent School,1,1,1,1,1,Yes,9,1,All standards Met
110931,Chartwell House School,03/12/2024,OS,Non-association independent schools,31/08/2021,22/02/2018,East of England,Cambridgeshire,North East Cambridgeshire,PE13 5HQ,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
112452,Oversands School,03/12/2024,OS,Non-association independent schools,31/08/2021,26/02/2018,North West,Cumbria,Westmorland and Lonsdale,LA11 6SD,Other Independent Special School,2,2,9,9,9,Yes,9,2,All standards Met
112456,Cedar House School,03/12/2024,OS,Non-association independent schools,31/08/2021,25/04/2019,Yorkshire and The Humber,North Yorkshire,Skipton and Ripon,LA2 7DD,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
112461,Underley Garden School,03/12/2024,OS,Non-association independent schools,31/08/2021,15/02/2018,North West,Cumbria,Westmorland and Lonsdale,LA6 2DZ,Other Independent Special School,1,1,9,9,9,Yes,9,1,All standards Met
113019,Bladon House School,03/12/2024,OS,Non-association independent schools,31/08/2021,26/03/2019,East Midlands,Derbyshire,South Derbyshire,DE15 0TA,Other Independent Special School,2,2,9,9,9,Yes,9,2,All standards Met
113021,Alderwasley Hall School,03/12/2024,OS,Non-association independent schools,31/08/2021,12/09/2018,East Midlands,Derbyshire,Derbyshire Dales,DE56 2SR,Other Independent Special School,2,1,9,9,9,Yes,9,2,All standards Met
113023,Dame Catherine Harpur's School,03/12/2024,OS,Non-association independent schools,31/08/2021,17/07/2019,East Midlands,Derbyshire,South Derbyshire,DE73 7JW,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
113026,Eastwood Grange School,03/12/2024,OS,Non-association independent schools,31/08/2021,28/11/2018,East Midlands,Derbyshire,North East Derbyshire,S45 0BA,Other Independent Special School,3,3,9,9,9,Yes,9,2,Did not meet all standards
113567,St Wilfrid's School,03/12/2024,OS,Non-association independent schools,31/08/2021,20/11/2017,South West,Devon,Exeter,EX4 4DA,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
113571,Vranch House School,03/12/2024,OS,Non-association independent schools,31/08/2021,04/09/2018,South West,Devon,Exeter,EX4 8AD,Other Independent Special School,1,1,9,9,9,Yes,1,9,All standards Met
113594,Fletewood School at Derry Villas,03/12/2024,OS,Non-association independent schools,31/08/2021,11/12/2019,South West,Plymouth,"Plymouth, Sutton and Devonport",PL4 6AN,Other Independent School,2,2,2,1,2,Yes,1,9,All standards Met
113603,South Devon Steiner School,03/12/2024,OS,Non-association independent schools,31/08/2021,13/05/2019,South West,Devon,Totnes,TQ9 6AB,Other Independent School,4,4,9,9,9,No,4,4,Did not meet all standards
113616,Quay View School,03/12/2024,OS,Non-association independent schools,31/08/2021,16/07/2018,South West,Devon,Torridge and West Devon,PL20 7EX,Other Independent Special School,3,3,9,9,9,Yes,9,9,All standards Met
113623,Magdalen Court School,03/12/2024,OS,Non-association independent schools,31/08/2021,18/09/2019,South West,Devon,Exeter,EX2 4NU,Other Independent Special School,3,3,9,9,9,Yes,9,9,All standards Met
113943,Ringwood Waldorf School,03/12/2024,OS,Non-association independent schools,31/08/2021,19/05/2019,South West,Dorset,Christchurch,BH24 2NN,Other Independent School,2,2,9,9,9,Yes,2,2,All standards Met
113950,Purbeck View School,03/12/2024,OS,Non-association independent schools,31/08/2021,07/02/2019,South West,Dorset,South Dorset,BH19 1PR,Other Independent Special School,2,2,9,9,9,Yes,9,2,All standards Met
113952,Sheiling School,03/12/2024,OS,Non-association independent schools,31/08/2021,17/01/2018,South West,Dorset,Christchurch,BH24 2EB,Other Independent Special School,2,2,9,9,9,Yes,9,2,All standards Met
114625,Michael Hall School,03/12/2024,OS,Non-association independent schools,31/08/2021,12/05/2019,South East,East Sussex,Wealden,RH18 5JA,Other Independent School,4,4,9,9,9,Yes,2,2,Did not meet all standards
114640,Claremont School,03/12/2024,OS,Non-association independent schools,31/08/2021,29/04/2019,South East,East Sussex,Hastings and Rye,TN37 7PW,Other Independent School,1,1,9,9,9,Yes,1,1,All standards Met
114646,Darvell School,03/12/2024,OS,Non-association independent schools,31/08/2021,15/06/2018,South East,East Sussex,Bexhill and Battle,TN32 5DR,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
114660,Owlswick School,03/12/2024,OS,Non-association independent schools,31/08/2021,13/09/2021,South East,East Sussex,Not available,Not available,Other Independent Special School,3,3,3,2,2,Yes,9,9,All standards Met
114661,Brighton Waldorf School,03/12/2024,OS,Non-association independent schools,31/08/2021,23/09/2021,South East,Brighton and Hove,"Brighton, Kemptown",BN2 5RA,Other Independent School,3,3,3,2,2,Yes,2,9,All standards Met
115425,Woodcroft School,03/12/2024,OS,Non-association independent schools,31/08/2021,23/07/2019,East of England,Essex,Epping Forest,IG10 1SQ,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
115426,Doucecroft School,03/12/2024,OS,Non-association independent schools,31/08/2021,03/04/2019,East of England,Essex,Harwich and North Essex,CO6 3QL,Other Independent Special School,4,4,9,9,9,Yes,9,3,Did not meet all standards
115437,Guru Gobind Singh Khalsa College,03/12/2024,OS,Non-association independent schools,31/08/2021,15/01/2020,East of England,Essex,Epping Forest,IG7 6BQ,Other Independent School,2,2,2,2,2,Yes,2,2,All standards Met
115802,Cotswold Chine School,03/12/2024,OS,Non-association independent schools,31/08/2021,06/11/2017,South West,Gloucestershire,The Cotswolds,GL6 9AG,Other Independent Special School,2,2,9,9,9,Yes,9,2,All standards Met
115808,The Acorn School,03/12/2024,OS,Non-association independent schools,31/08/2021,04/03/2019,South West,Gloucestershire,Stroud,GL6 0BP,Other Independent School,2,2,9,9,9,Yes,9,2,All standards Met
115809,Hartmore School,03/12/2024,OS,Non-association independent schools,31/08/2021,10/09/2018,South West,Gloucestershire,Forest of Dean,GL19 3BG,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
115810,Al-Ashraf Secondary School for Girls,03/12/2024,OS,Non-association independent schools,31/08/2021,04/12/2019,South West,Gloucestershire,Gloucester,GL1 4AW,Other Independent School,2,2,2,2,2,Yes,9,9,All standards Met
116564,Southlands School,03/12/2024,OS,Non-association independent schools,31/08/2021,12/12/2019,South East,Hampshire,New Forest East,SO41 5QB,Other Independent Special School,2,2,2,2,2,Yes,9,2,All standards Met
116565,Hill House School,03/12/2024,OS,Non-association independent schools,31/08/2021,28/01/2020,South East,Hampshire,New Forest East,SO41 8NE,Other Independent Special School,1,1,1,1,1,Yes,9,1,All standards Met
116567,Charlton House Independent School,03/12/2024,OS,Non-association independent schools,31/08/2021,01/03/2020,South East,Southampton,"Southampton, Itchen",SO18 4DJ,Other Independent School,4,4,3,3,4,Yes,2,9,Did not meet all standards
116584,St Edward's School,03/12/2024,OS,Non-association independent schools,31/08/2021,02/07/2018,South East,Hampshire,Romsey and Southampton North,SO51 6ZR,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
116586,Coxlease School,03/12/2024,OS,Non-association independent schools,31/08/2021,27/09/2017,South East,Hampshire,New Forest East,SO43 7DE,Other Independent Special School,1,1,9,9,9,Yes,9,1,All standards Met
116588,Grateley House School,03/12/2024,OS,Non-association independent schools,31/08/2021,13/07/2020,South East,Hampshire,North West Hampshire,SP11 8TA,Other Independent Special School,4,4,4,3,4,No,9,3,Did not meet all standards
116589,The Loddon School,03/12/2024,OS,Non-association independent schools,31/08/2021,24/09/2018,South East,Hampshire,North East Hampshire,RG27 0JD,Other Independent Special School,1,1,9,9,9,Yes,9,1,All standards Met
116593,The Forum School,03/12/2024,OS,Non-association independent schools,31/08/2021,19/01/2020,South West,Dorset,North Dorset,DT11 0QS,Other Independent Special School,2,2,2,2,2,Yes,9,2,All standards Met
116594,St Michael's School,03/12/2024,OS,Non-association independent schools,31/08/2021,12/06/2019,South East,Hampshire,North West Hampshire,RG20 9JW,Other Independent School,2,2,9,9,9,Yes,9,9,All standards Met
117030,Cambian New Elizabethan School,03/12/2024,OS,Non-association independent schools,31/08/2021,23/01/2018,West Midlands,Worcestershire,Mid Worcestershire,DY11 7TE,Other Independent Special School,2,2,9,9,9,Yes,9,2,All standards Met
117033,Sunfield Children's Home Ltd,03/12/2024,OS,Non-association independent schools,31/08/2021,22/10/2018,West Midlands,Worcestershire,Bromsgrove,DY9 9PB,Other Independent Special School,3,2,9,9,9,Yes,9,9,All standards Met
117042,Rowden House School,03/12/2024,OS,Non-association independent schools,31/08/2021,03/01/2018,West Midlands,Herefordshire,North Herefordshire,HR7 4LS,Other Independent Special School,2,2,9,9,9,Yes,9,2,All standards Met
117044,Madinatul Uloom Al Islamiya School,03/12/2024,OS,Non-association independent schools,31/08/2021,03/12/2019,West Midlands,Worcestershire,Wyre Forest,DY10 4BS,Other Independent School,3,3,3,2,2,Yes,9,3,All standards Met
117048,Cambian Hereford School,03/12/2024,OS,Non-association independent schools,31/08/2021,27/03/2018,West Midlands,Herefordshire,North Herefordshire,HR6 0EW,Other Independent Special School,1,1,9,9,9,Yes,9,9,All standards Met
117615,Radlett Preparatory School Limited,03/12/2024,OS,Non-association independent schools,31/08/2021,08/12/2019,East of England,Hertfordshire,Hertsmere,WD7 7LY,Other Independent School,2,2,2,1,1,Yes,1,9,All standards Met
117646,Radlett Lodge School,03/12/2024,OS,Non-association independent schools,31/08/2021,01/03/2020,East of England,Hertfordshire,St Albans,WD7 9HW,Other Independent Special School,2,2,2,2,2,Yes,9,2,All standards Met
117654,Gurukula - The Hare Krishna Primary School,03/12/2024,OS,Non-association independent schools,31/08/2021,04/04/2019,East of England,Hertfordshire,Hertsmere,WD25 8HB,Other Independent School,4,4,9,9,9,No,4,9,Did not meet all standards
117660,High Elms Manor School,03/12/2024,OS,Non-association independent schools,31/08/2021,16/01/2020,East of England,Hertfordshire,Watford,WD25 0JX,Other Independent School,2,2,2,2,2,Yes,2,9,All standards Met
117662,Longwood School,03/12/2024,OS,Non-association independent schools,31/08/2021,21/08/2019,East of England,Hertfordshire,Hertsmere,WD23 2QG,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
118123,Froebel House School,03/12/2024,OS,Non-association independent schools,31/08/2021,13/02/2019,Yorkshire and The Humber,Kingston upon Hull,Kingston upon Hull North,HU5 3JP,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
118127,Hessle Mount School,03/12/2024,OS,Non-association independent schools,31/08/2021,16/09/2021,Yorkshire and The Humber,East Riding of Yorkshire,Kingston upon Hull West and Hessle,HU13 0JZ,Other Independent School,2,2,2,2,2,Yes,2,9,All standards Met
118225,Priory School,03/12/2024,OS,Non-association independent schools,31/08/2021,19/06/2018,South East,Isle of Wight,Isle of Wight,PO32 6LP,Other Independent School,2,2,9,9,9,Yes,1,9,All standards Met
118977,Chartfield School,03/12/2024,OS,Non-association independent schools,31/08/2021,13/05/2020,South East,Kent,North Thanet,CT8 8DA,Other Independent School,2,2,2,2,1,Yes,2,9,All standards Met
118979,Bryony School,03/12/2024,OS,Non-association independent schools,31/08/2021,04/09/2018,South East,Medway,Gillingham and Rainham,ME8 0AJ,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
118993,Helen Allison School,03/12/2024,OS,Non-association independent schools,31/08/2021,19/07/2021,South East,Kent,Gravesham,DA13 0EW,Other Independent Special School,2,2,2,1,1,Yes,9,2,All standards Met
118995,Ripplevale School,03/12/2024,OS,Non-association independent schools,31/08/2021,10/03/2020,South East,Kent,Dover,CT14 8JG,Other Independent Special School,2,2,2,2,2,Yes,9,2,All standards Met
119005,Elliott Park School,03/12/2024,OS,Non-association independent schools,31/08/2021,13/01/2020,South East,Kent,Sittingbourne and Sheppey,ME12 2DP,Other Independent School,2,2,2,2,2,Yes,2,9,All standards Met
119009,Heath Farm School,03/12/2024,OS,Non-association independent schools,31/08/2021,12/05/2020,South East,Kent,Ashford,TN27 0AX,Other Independent Special School,2,2,2,2,2,Yes,9,2,All standards Met
119013,Learning Opportunities Centre Secondary,03/12/2024,OS,Non-association independent schools,31/08/2021,09/03/2020,South East,Kent,Dover,CT14 8DW,Other Independent Special School,3,2,3,2,2,Yes,9,0,All standards Met
119015,ISP School,03/12/2024,OS,Non-association independent schools,31/08/2021,03/02/2019,South East,Kent,Sittingbourne and Sheppey,ME9 9EA,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
119021,Brewood Secondary School,03/12/2024,OS,Non-association independent schools,31/08/2021,16/01/2020,South East,Kent,Dover,CT14 9TR,Other Independent Special School,2,2,2,2,2,Yes,9,2,All standards Met
119819,The St Anne's College Grammar School,03/12/2024,OS,Non-association independent schools,31/08/2021,13/12/2018,North West,Lancashire,Fylde,FY8 1HN,Other Independent School,2,2,9,9,9,Yes,2,2,All standards Met
119845,Rossendale School,03/12/2024,OS,Non-association independent schools,31/08/2021,29/11/2017,North West,Lancashire,Rossendale and Darwen,BL0 0RT,Other Independent Special School,1,1,9,9,9,Yes,9,1,All standards Met
119848,Rawdhatul Uloom Islamic Primary School,03/12/2024,OS,Non-association independent schools,31/08/2021,09/04/2019,North West,Blackburn with Darwen,Blackburn,BB1 5NZ,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
119849,Crookhey Hall School,03/12/2024,OS,Non-association independent schools,31/08/2021,26/02/2018,North West,Lancashire,Lancaster and Fleetwood,LA2 0HA,Other Independent Special School,2,2,9,9,9,Yes,9,2,All standards Met
119853,Waterloo Lodge,03/12/2024,OS,Non-association independent schools,31/08/2021,03/12/2019,North West,Lancashire,Chorley,PR6 7AX,Other Independent Special School,2,2,2,2,2,Yes,9,9,All standards Met
119856,Al Islah Girls' High School,03/12/2024,OS,Non-association independent schools,31/08/2021,04/11/2018,North West,Blackburn with Darwen,Blackburn,BB1 1TF,Other Independent School,3,2,9,9,9,Yes,9,9,All standards Met
120330,The Grange Therapeutic School,03/12/2024,OS,Non-association independent schools,31/08/2021,12/04/2018,East Midlands,Leicestershire,Rutland and Melton,LE15 8LY,Other Independent Special School,2,1,9,9,9,Yes,9,9,All standards Met
120331,Twycross House School,03/12/2024,OS,Non-association independent schools,31/08/2021,26/02/2020,East Midlands,Leicestershire,Bosworth,CV9 3PL,Other Independent School,1,1,1,1,1,Yes,9,1,All standards Met
120335,Leicester Islamic Academy,03/12/2024,OS,Non-association independent schools,31/08/2021,12/12/2017,East Midlands,Leicester,Leicester South,LE2 2PJ,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
120336,Twycross House Pre-Preparatory School,03/12/2024,OS,Non-association independent schools,31/08/2021,14/09/2018,East Midlands,Leicestershire,Bosworth,CV9 3PQ,Other Independent School,1,1,9,9,9,Yes,1,9,All standards Met
120345,Darul Uloom Leicester,03/12/2024,OS,Non-association independent schools,31/08/2021,05/12/2019,East Midlands,Leicester,Leicester East,LE4 5LN,Other Independent School,2,2,2,2,2,Yes,9,2,All standards Met
120728,Dudley House School,03/12/2024,OS,Non-association independent schools,31/08/2021,14/03/2019,East Midlands,Lincolnshire,Grantham and Stamford,NG31 9AA,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
120739,The Viking School,03/12/2024,OS,Non-association independent schools,31/08/2021,01/07/2019,East Midlands,Lincolnshire,Boston and Skegness,PE25 2QJ,Other Independent School,3,3,9,9,9,Yes,3,9,All standards Met
120740,Kisimul School,03/12/2024,OS,Non-association independent schools,31/08/2021,18/07/2019,East Midlands,Lincolnshire,Sleaford and North Hykeham,LN6 9LU,Other Independent Special School,2,2,9,9,9,Yes,9,2,All standards Met
120743,Greenwich House School,03/12/2024,OS,Non-association independent schools,31/08/2021,01/05/2019,East Midlands,Lincolnshire,Louth and Horncastle,LN11 0HE,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
121246,Sheridan House School,03/12/2024,OS,Non-association independent schools,31/08/2021,27/02/2019,East of England,Norfolk,South West Norfolk,IP26 5LQ,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
121250,All Saints School,03/12/2024,OS,Non-association independent schools,31/08/2021,14/09/2021,East of England,Norfolk,North Norfolk,NR12 0DJ,Other Independent School,3,3,3,2,2,Yes,9,9,All standards Met
121251,Downham Preparatory School and Montessori Nursery,03/12/2024,OS,Non-association independent schools,31/08/2021,17/10/2018,East of England,Norfolk,South West Norfolk,PE34 3HT,Other Independent School,2,2,9,9,9,Yes,2,9,All standards Met
121252,St Andrew's School,03/12/2024,OS,Non-association independent schools,31/08/2021,07/11/2018,East of England,Norfolk,North Norfolk,NR11 8QA,Other Independent Special School,2,2,9,9,9,Yes,9,9,All standards Met
121753,Moorland Waldorf School,03/12/2024,OS,Non-association independent schools,31/08/2021,30/01/2019,Yorkshire and The Humber,North Yorkshire,Scarborough and Whitby,YO21 2NJ,Other Independent School,3,3,9,9,9,Yes,3,9,Did not meet all standards
121759,York Steiner School,03/12/2024,OS,Non-association independent schools,31/08/2021,07/10/2020,Yorkshire and The Humber,York,York Central,YO10 4PB,Other Independent School,4,4,9,9,9,Yes,3,9,Did not meet all standards
121763,Wharfedale Montessori School,03/12/2024,OS,Non-association independent schools,31/08/2021,04/07/2017,Yorkshire and The Humber,North Yorkshire,Skipton and Ripon,BD23 6AN,Other Independent School,1,1,9,9,9,Yes,1,9,All standards Met
